Time, Alpha_L1, Alpha_L2, Alpha_R1, Alpha_R2, CamberL1, CamberR1, Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , MuX_L1  , MuX_L2  , MuX_R1  , MuX_R2  , MuY_L1  , MuY_L2  , MuY_R1  , MuY_R2  , Steer_SW
        6.775, -0.450493485055, -0.00814143951471, 0.414398353393, 0.000155460796041, -2.50875524034, -3.34913364627, -404.223681275, 1707.79085884, -38.8212714734, 1707.65775687, -39.2381340689, -0.017946545224, 469.508373483, 4.65750378293, -402.188693077, -0.334815031324, 242.534208469, 4001.71495141, 3378.74673656, 3992.01976846, 3388.78058307,             1,             1,             1,             1,             1,             1,             1,             1, -6.96752602523
          6.8, -0.459490775682, -0.0094529545161, 0.405207283218, -0.00105697735627, -2.50653907147, -3.35135745011, -405.464395374, 1706.89367403, -38.7198102216, 1706.89399307, -39.3331147553, -0.023856559675,  481.19598595,  5.4810895125, -390.038778786, 0.382511991902, 243.278636703,  3997.8950615, 3373.22664726, 3995.36858427, 3393.89693099,             1,             1,             1,             1,             1,             1,             1,             1, -6.65766409473
        6.825, -0.462531548981, -0.0120137600799, 0.402074812384, -0.00353827870213, -2.50531817101, -3.35257485323, -406.705776416, 1706.07879469, -38.6369178264,  1706.0511116, -39.3981731392, -0.0226302163786, 487.884544326, 7.43753645839, -382.885145522, 2.25640305763, 244.023465382, 3992.55138048, 3366.56154354, 4000.24905227, 3400.07500782,             1,             1,             1,             1,             1,             1,             1,             1, -6.53438164771
         6.85, -0.461736263197, -0.0159294283462, 0.402852716424, -0.00743075095886, -2.50505353392, -3.35282552037, -407.947835765, 1705.32254869, -38.5944657684,  1705.1362021, -39.4065498981, -0.00933371756489, 488.185580193, 10.7590285112, -382.260774468, 5.58717906703,  244.76870138,  3986.5973929, 3359.95387009,  4005.7298266, 3406.13167263,             1,             1,             1,             1,             1,             1,             1,             1, -6.53951296183
        6.875, -0.461470186087, -0.0208736295343, 0.403119527136, -0.0124288409606, -2.50505058484, -3.35281002155, -409.190581925, 1704.53599804, -38.5830763857, 1704.25667411, -39.378108293, 0.0166821025106, 486.957206702, 15.2855840678, -383.303189987, 10.2575394861, 245.514348902, 3981.42486989, 3354.74599219,  4010.4116849, 3410.79607838,             1,             1,             1,             1,             1,             1,             1,             1, -6.60247103965
          6.9, -0.461727831577, -0.0263105199495, 0.402874844743, -0.0179888289339, -2.50522734988, -3.3526118437, -410.434012486, 1703.74440181, -38.597698086, 1703.39166612, -39.3395082938, 0.0522662649768, 486.406377901, 20.5319296838, -383.737609101, 15.7536763504, 246.260405018, 3977.70092278, 3351.48643399, 4013.63426375, 3413.61766232,             1,             1,             1,             1,             1,             1,             1,             1, -6.70352222335
        6.925, -0.462349838557, -0.031766329303, 0.402275007923, -0.0236049495615, -2.50552725406, -3.35228847549, -411.67811242, 1702.93305105, -38.6324800068, 1702.56115644, -39.3032820911, 0.093824864418,  486.56904775, 25.9917090501, -383.489078449, 21.5040953492, 247.006859505, 3975.32188818, 3349.90084408, 4015.49640493, 3414.92875915,             1,             1,             1,             1,             1,             1,             1,             1, -6.84753218649
         6.95, -0.462431334836, -0.0369117341559, 0.402231610476, -0.0289129063783, -2.50603197575, -3.35175832127, -412.922867334, 1702.11119751, -38.6788578215, 1701.75827852, -39.2686057313, 0.138395095338,  486.70346495, 31.2830598866, -383.301747612, 27.0774305954, 247.753703164, 3973.79376491, 3349.36558166, 4016.49994773, 3415.34301317,             1,             1,             1,             1,             1,             1,             1,             1, -7.04684664282
        6.975, -0.461564878372, -0.0415442150184, 0.403155913122, -0.0336871915363, -2.50677416616, -3.35098862058, -414.168270165, 1701.28867738, -38.7313695974, 1700.97463889, -39.2311392727, 0.183863101206, 486.004115398, 36.1575841958, -383.992703797, 32.1998591766, 248.500931772,  3972.7058443, 3349.33629243, 4017.06765637,  3415.3492535,             1,             1,             1,             1,             1,             1,             1,             1, -7.30620601977
            7, -0.459576725256, -0.0455286210598, 0.405223607084, -0.0377854038226, -2.50776361998, -3.34996942657, -415.414320866, 1700.47800963, -38.7872116993,  1700.1983362, -39.1887784775, 0.228583972678, 484.024175895, 40.4549520975, -386.029289241, 36.7012862102, 249.248545792, 3971.85856939, 3349.54581564, 4017.41065155, 3415.15188774,             1,             1,             1,             1,             1,             1,             1,             1, -7.61798205499
