 Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , Roll    , Roll_L1 , Roll_L2 , Roll_R1 , Roll_R2 , Yaw     , Yaw_L1  , Yaw_L2  , Yaw_R1  , Yaw_R2  
-295.2702933,-59.96673998,1484.639728,-60.83133591,1484.298729,-0.039064941,159.5665163,-269.686452,-121.7887254,264.4619124,177.162174,2465.659539,3028.415093,2474.414041,3033.084451,0.011192917,0.887189375,1.70708313,-0.867707832,-1.690837082,-80.21361814,-79.99421243,-80.45798906,-80.36711628,-79.96632898
-296.3048805,-59.96673998,1484.460824,-60.92723356,1484.004824,-0.03740329,166.59608,-267.8084821,-114.6414962,266.3159831,177.7829265,2462.674759,3025.503848,2476.781484,3035.962,0.013004917,0.889211964,1.708014072,-0.865405986,-1.689881473,-80.21178056,-79.98224778,-80.45601825,-80.35523226,-79.96437557
-297.340666,-59.76739474,1484.271347,-60.96788222,1483.705835,-0.028427992,172.1947761,-264.6986046,-108.8985487,269.4139631,178.4043986,2459.68731,3022.353664,2479.168472,3039.075244,0.015237762,0.891447138,1.708885443,-0.862893067,-1.688988546,-80.20836257,-79.97124866,-80.4524181,-80.34424202,-79.96079294
-298.3776391,-59.77079856,1484.053932,-60.94146751,1483.420486,-0.010771059,175.7507945,-260.4142973,-105.2078548,273.708581,179.0265833,2457.052753,3019.388531,2481.216754,3042.004056,0.017644365,0.893655413,1.709508752,-0.86041466,-1.688349448,-80.2032468,-79.96238752,-80.44708687,-80.33533946,-79.95547943
-299.4157926,-59.8428072,1483.786387,-60.84711125,1483.171614,0.015689188,177.2054087,-255.2068139,-103.6234262,278.9536223,179.6494752,2454.987285,3016.921675,2482.704349,3044.437439,0.019969293,0.895604477,1.709757997,-0.858193897,-1.688091327,-80.19651529,-79.95547505,-80.44012845,-80.32848504,-79.94853902
-300.4551218,-59.95972005,1483.455233,-60.70302671,1482.971613,0.04939612,177.7425761,-249.4781494,-103.0262392,284.744408,180.2730701,2453.419058,3015.014276,2483.694282,3046.313503,0.022048402,0.897290046,1.709636633,-0.856254385,-1.688209709,-80.18843024,-79.94924669,-80.43182541,-80.3222542,-79.94025439
-301.4956204,-60.09389646,1483.055404,-60.53960768,1482.823507,0.087636065,177.7582536,-243.6635536,-102.9046494,290.6382549,180.8973628,2452.153049,3013.486764,2484.380816,3047.808146,0.023850819,0.898755486,1.709269563,-0.854532236,-1.688577386,-80.1793498,-79.94370115,-80.4225484,-80.3166468,-79.93099626
-302.5372785,-60.23058948,1482.599305,-60.37253729,1482.71341,0.127512808,177.4145907,-238.1457481,-103.1918851,296.243617,181.5223472,2451.040244,3012.150278,2484.914884,3049.106105,0.025417567,0.900038948,1.708813545,-0.852997945,-1.689034852,-80.16966762,-79.93866492,-80.41269385,-80.31160518,-79.92116112
-303.5800841,-60.3615958,1482.115966,-60.21089665,1482.613092,0.166260081,176.6823103,-233.2744256,-103.9004268,301.2397701,182.1480166,2450.039671,3010.941267,2485.339282,3050.269254,0.026790207,0.901159699,1.708402591,-0.851629442,-1.689456153,-80.15977985,-79.93433941,-80.40271237,-80.30733232,-79.91114229
-304.6240234,-60.48367715,1481.631176,-60.05850639,1482.493998,0.201503573,175.3536627,-229.2268381,-105.2302636,305.373983,182.7743645,2449.241025,3009.959569,2485.563484,3051.20016,0.027957795,0.902069741,1.70806973,-0.850481179,-1.689786038,-80.15006491,-79.9311279,-80.39286462,-80.30411276,-79.90131545
-305.6690797,-60.59279338,1481.149043,-59.91736341,1482.319101,0.231240242,173.4118543,-226.2107125,-107.1776529,308.4374329,183.4013829,2448.771977,3009.384357,2485.464935,3051.72129,0.02885581,0.902685351,1.707813931,-0.849629107,-1.690025164,-80.14087775,-79.9289869,-80.38356411,-80.30196838,-79.89203654
-306.7151915,-60.68055849,1480.593839,-59.79100723,1481.993307,0.253830814,170.9867202,-224.3851176,-109.6229498,310.2696711,184.0290369,2448.72108,3009.368842,2484.958427,3051.682492,0.029400284,0.90293888,1.707610782,-0.849143737,-1.690196868,-80.13253695,-79.92785204,-80.37513444,-80.30082919,-79.88362915
-307.7622507,-60.73915159,1479.948749,-59.68457166,1481.498568,0.268059105,168.2405435,-223.8391148,-112.4051789,310.7748609,184.6572637,2449.114632,3009.965872,2484.031938,3051.016616,0.029525123,0.90278066,1.707437049,-0.849076756,-1.690321294,-80.12530704,-79.92748988,-80.36784667,-80.30046224,-79.8763645
-308.810157,-60.76506217,1479.235173,-59.60328556,1480.861959,0.273219404,165.3124921,-224.5878034,-115.3787699,309.9371732,185.2860044,2449.915685,3011.128795,2482.741624,3049.748981,0.029203545,0.902207491,1.707283585,-0.849436025,-1.690405576,-80.11938287,-79.9278678,-80.36190077,-80.30077409,-79.87044307
-309.8588352,-60.75753766,1478.483722,-59.5495283,1480.121223,0.269179868,162.2819077,-226.5688287,-118.468998,307.8257631,185.9152143,2451.051637,3012.755239,2481.161952,3047.973774,0.028448258,0.901230383,1.707150528,-0.850200316,-1.690448808,-80.11488076,-79.9287702,-80.35741523,-80.30173424,-79.86598434
-310.9082382,-60.71991092,1477.724189,-59.52262108,1479.310389,0.256381177,159.1589644,-229.6503607,-121.6479,304.5847626,186.5448644,2452.44502,3014.730528,2479.353594,3045.808726,0.027297799,0.899885004,1.707036795,-0.851343611,-1.690453684,-80.1118389,-79.9302212,-80.3544276,-80.30319571,-79.86302666
-311.9583427,-60.65739756,1476.980421,-59.51912497,1478.454831,0.235753007,155.9369944,-233.6491774,-124.915115,300.4114316,187.1749394,2454.030882,3016.963613,2477.361222,3043.353835,0.025801128,0.898213564,1.706931451,-0.852823016,-1.690434559,-80.11022552,-79.93224299,-80.35290331,-80.30515398,-79.86153586
-313.0091416,-60.57626903,1476.264729,-59.53343036,1477.573088,0.208592159,152.6146741,-238.3520755,-128.2656253,295.5316523,187.8054333,2455.764411,3019.383596,2475.218841,3040.686138,0.024008814,0.896258757,1.706813834,-0.854585703,-1.690415851,-80.10995201,-79.93481885,-80.35274978,-80.30772554,-79.86141956
-314.0606372,-60.48316669,1475.578717,-59.55995352,1476.68149,0.176410927,149.1906303,-243.5375528,-131.7181429,290.2253698,188.4363455,2457.605819,3021.931654,2472.957761,3037.87877,0.02197162,0.894065995,1.706660207,-0.856589577,-1.690438792,-80.11088844,-79.93794718,-80.35383286,-80.31084964,-79.86248603
-315.1128343,-60.38290739,1474.916766,-59.59370933,1475.785396,0.140816126,145.6758898,-248.9914855,-135.2525258,284.6281745,189.0676772,2459.512917,3024.548156,2470.616354,3035.005798,0.019742239,0.891680265,1.706450698,-0.858781077,-1.690501869,-80.11287997,-79.94154303,-80.3559934,-80.31450658,-79.86469101
-316.1657362,-60.28082278,1474.268754,-59.62986855,1474.891892,0.103391191,142.0990825,-254.5137024,-138.8353038,278.9787286,189.6994291,2461.441033,3027.17189,2468.237134,3032.134608,0.017374646,0.889164338,1.706170328,-0.861104118,-1.690633448,-80.11575924,-79.94569271,-80.35905966,-80.31865444,-79.86780445
-317.2193422,-60.18045181,1473.622585,-59.66451081,1474.004102,0.065578523,138.5065931,-259.9313767,-142.4196654,273.4573025,190.3316003,2463.343892,3029.736431,2465.868727,3029.335054,0.01492562,0.886570764,1.705813916,-0.863498783,-1.690842838,-80.11935865,-79.95027864,-80.36285938,-80.32323886,-79.87165342
-318.273647,-60.08494458,1472.967478,-59.69429328,1473.123201,0.028621273,134.9333734,-265.102816,-145.9707005,268.2045413,190.9641873,2465.177037,3032.176458,2463.559201,3026.670451,0.012453025,0.883958529,1.705385274,-0.865906103,-1.691127461,-80.12351969,-79.95526704,-80.36722908,-80.3282262,-79.87607389
-319.328641,-59.99678702,1472.29547,-59.71652536,1472.249097,-0.00646878,131.3925852,-269.9197219,-149.4761758,263.3247981,191.5971845,2466.907872,3034.440352,2461.34555,3024.187134,0.010010581,0.881378782,1.704893151,-0.868274791,-1.691478367,-80.12810056,-79.96064848,-80.37202174,-80.33360716,-79.88091849
-320.3843114,-59.9181127,1471.601387,-59.72918472,1471.382941,-0.038945996,127.9026313,-274.3102362,-152.9135405,258.9269142,192.2305851,2468.517027,3036.497626,2459.250698,3021.910401,0.007642992,0.878873938,1.704348331,-0.870566509,-1.691895776,-80.13298247,-79.96639648,-80.37711362,-80.33929281,-79.88600586
-321.4406436,-59.84904838,1470.88323,-59.73162864,1470.520376,-0.068350211,124.5025807,-278.2406062,-156.2583446,254.9665218,192.8643807,2469.992373,3038.334961,2457.291611,3019.850536,0.005384981,0.876479214,1.703764167,-0.872739888,-1.692343516,-80.13807398,-79.97245891,-80.38240889,-80.34535731,-79.89135512
-322.4976216,-59.7893836,1470.141546,-59.72484683,1469.661814,-0.094466149,121.2277035,-281.7047425,-159.4617352,251.4657197,193.4985627,2471.348918,3039.955471,2455.492611,3017.998459,0.003259982,0.874219676,1.703153024,-0.874774893,-1.692813767,-80.14330936,-79.97879174,-80.3878383,-80.35169321,-79.89683948
-323.5552295,-59.7386297,1469.378979,-59.70999018,1468.807011,-0.117309634,118.1011391,-284.7493531,-162.5210346,248.4100126,194.1331219,2472.620664,3041.37339,2453.880967,3016.34223,0.001281612,0.872113392,1.702535165,-0.876664115,-1.693295299,-80.14864656,-79.98537666,-80.39341458,-80.3582681,-79.90241442
-324.6134523,-59.69577613,1468.595599,-59.68719514,1467.95569,-0.137048633,115.1054536,-287.3865818,-165.4533633,245.7605786,194.7680499,2473.815888,3042.617713,2452.443459,3014.865598,-0.000546029,0.870165387,1.701914517,-0.878404758,-1.693776931,-80.15406446,-79.99221887,-80.39900025,-80.36517447,-79.90805736
-325.6722776,-59.66059833,1467.799572,-59.65690716,1467.113711,-0.154006866,112.2109413,-289.6520879,-168.2706464,243.4639458,195.4033395,2474.939532,3043.744997,2451.147941,3013.572628,-0.002227647,0.868370108,1.701295641,-0.880014607,-1.694250717,-80.15956189,-79.99934624,-80.40465121,-80.37230519,-79.91376626
-326.7316973,-59.63132389,1466.994397,-59.62060914,1466.278883,-0.168613177,109.3988947,-291.6391377,-171.0081373,241.4569528,196.038986,2475.999737,3044.821483,2449.962987,3012.463749,-0.003775097,0.866714974,1.700698016,-0.88150695,-1.694713472,-80.16515573,-80.00678441,-80.41038583,-80.37973599,-79.91955686
-327.7917011,-59.60713655,1466.177879,-59.57855451,1465.445627,-0.181358337,106.6444574,-293.4227691,-173.6893483,239.6956635,196.6749834,2477.012647,3045.879972,2448.855979,3011.495471,-0.005207098,0.865184743,1.700131341,-0.882894355,-1.695172934,-80.17087703,-80.01462197,-80.41623771,-80.38757876,-79.92540203
-328.8522771,-59.58531603,1465.348493,-59.53151895,1464.606764,-0.192785116,103.9060436,-295.0775106,-176.3460512,238.0773287,197.3113243,2477.950545,3046.932326,2447.73952,3010.607267,-0.006546806,0.863741322,1.699600528,-0.884210152,-1.69562113,-80.17676873,-80.0227652,-80.42225232,-80.39573052,-79.93146048
-329.9134148,-59.5624578,1464.507686,-59.47905339,1463.758318,-0.203423944,101.1702134,-296.6713616,-178.9861219,236.5070668,197.9480023,2478.670528,3047.983942,2446.426074,3009.730921,-0.007820014,0.862359664,1.699104702,-0.885455433,-1.696050544,-80.1828813,-80.0313768,-80.42848224,-80.40435013,-79.93772707
-330.975104,-59.53772604,1463.656093,-59.4237945,1462.898383,-0.213785693,98.39925667,-298.2649567,-181.6358147,234.9396404,198.5850111,2479.177008,3049.036741,2444.875162,3008.80407,-0.009053606,0.860979707,1.698638171,-0.886646004,-1.69646656,-80.18926843,-80.04035635,-80.434983,-80.41334036,-79.94425835
-332.0373277,-59.51144297,1462.773771,-59.36656379,1462.00311,-0.224342226,95.58410224,-299.9020819,-184.3126735,233.3088254,199.2223403,2479.539954,3050.001268,2443.125509,3007.68179,-0.010272653,0.859574298,1.698189416,-0.887781309,-1.696862762,-80.19598461,-80.04986644,-80.44181018,-80.42285055,-79.9511128
-333.1000529,-59.48246191,1461.853567,-59.30936725,1461.065077,-0.235506843,92.70607029,-301.6052634,-187.041578,231.5462536,199.8599699,2479.828936,3050.712005,2441.219367,3006.167688,-0.011498958,0.858106435,1.697732882,-0.888888747,-1.697218031,-80.20308289,-80.05979853,-80.44901348,-80.43276971,-79.95835179
-334.1632567,-59.45094428,1460.921229,-59.25321079,1460.10822,-0.24763027,89.75725073,-303.4035971,-189.8188707,229.6077016,200.4978859,2480.090899,3051.18228,2439.18925,3004.257133,-0.01275056,0.856564008,1.697242598,-0.889974036,-1.697510202,-80.2106126,-80.07022415,-80.45663613,-80.44324259,-79.96603504
-335.226682,-59.65440379,1460.007353,-59.45797562,1459.16324,-0.260943193,87.06123238,-305.3307188,-193.5411,227.4758244,201.1359337,2493.813898,3051.558278,2451.865265,3002.063307,-0.014048206,0.855154525,1.696700951,-0.891424985,-1.697736937,-80.21861867,-80.08108235,-80.4647198,-80.45403689,-79.97421509
-336.2897816,-59.90511241,1459.182217,-59.66974964,1458.253234,-0.275602149,84.56635361,-307.4776281,-197.4825324,225.2208716,201.7737851,2523.115055,3052.67764,2478.303483,3000.11218,-0.015472763,0.855684192,1.696098261,-0.895172887,-1.698020165,-80.22715192,-80.09193026,-80.47331073,-80.46492353,-79.98289868
-337.3533251,-59.71677763,1458.489738,-59.47131302,1457.504015,-0.292095324,81.70279904,-310.015048,-199.9200139,222.8631545,202.4119011,2527.291994,3055.773011,2479.18464,2999.796153,-0.017036274,0.857682093,1.695568914,-0.900302927,-1.698458346,-80.23624896,-80.10325106,-80.48242947,-80.47649307,-79.99226035
-338.4195513,-59.32179014,1462.751411,-59.10306624,1461.972088,-0.310406244,78.34593118,-315.6341265,-201.5055852,222.6437952,203.051625,2502.197754,3082.900418,2450.663933,3025.11611,-0.018658695,0.858055553,1.696467258,-0.903654939,-1.700195412,-80.24589962,-80.11567473,-80.49226921,-80.48924775,-80.00200196
-339.4900057,-58.72426928,1462.58243,-58.53805159,1461.559127,-0.329692722,74.10819184,-322.9809651,-202.7040621,223.6245069,203.6938845,2454.539983,3115.87282,2398.796066,3054.705903,-0.020337268,0.854400523,1.700059409,-0.902996087,-1.70456325,-80.25605179,-80.12965451,-80.50353364,-80.50347154,-80.0113243
-340.5602087,-57.90391742,1456.429412,-57.73216866,1455.130547,-0.349371628,68.84040346,-326.7333484,-203.6399014,221.8951297,204.3359922,2391.36068,3111.551488,2331.458159,3046.720036,-0.022016411,0.8458266,1.703469806,-0.897352357,-1.708868611,-80.26665878,-80.14523014,-80.51581015,-80.51904613,-80.0206518
